delete_index,value,time_ns,operations
0,31130,13000,69
1,92763,2200,59
2,11248,2400,64
3,48884,2900,71
4,69970,2100,64
5,87525,1800,59
6,21505,4200,74
7,96918,17900,59
8,55519,3100,59
9,18093,5900,69
10,77182,3000,69
11,67502,4600,75
12,55276,2900,69
13,72292,3300,66
14,64476,3500,74
15,78032,3600,74
16,88456,4000,78
17,76170,3000,69
18,68743,2400,71
19,72209,11300,69
20,41400,3200,68
21,27863,3200,68
22,57226,3200,72
23,62913,3400,69
24,11243,2900,64
25,15241,3200,61
26,46030,2700,59
27,7458,3900,69
28,17387,4200,64
29,98246,3600,73
30,56730,3100,68
31,10756,2900,64
32,72430,4000,63
33,91085,3500,61
34,48217,3800,72
35,77727,3500,64
36,35212,3600,69
37,8093,3700,71
38,90713,4300,64
39,81164,4600,73
40,62379,4500,72
41,68065,4000,69
42,99823,4000,69
43,12737,3900,61
44,93975,3800,64
45,534,4100,63
46,2807,4000,69
47,16935,6000,76
48,70157,3700,69
49,48443,3100,69
50,27193,3900,68
51,24440,3300,64
52,5558,4000,69
53,64756,4300,74
54,77160,4000,79
55,64410,3400,69
56,25713,4200,56
57,4059,3500,70
58,28261,4300,70
59,26003,4100,69
60,25897,3900,70
61,22819,4400,71
62,27552,4800,70
63,26601,4100,65
64,9094,4400,79
65,50794,4000,69
66,92798,5500,69
67,29719,3700,64
68,83775,3400,59
69,69499,3900,66
70,82390,4200,69
71,67501,4000,69
72,41453,3600,64
73,10429,4000,69
74,27573,4400,74
75,73733,6100,79
76,80986,4600,79
77,82460,4600,74
78,90625,4100,68
79,12093,4000,65
80,18200,4200,73
81,12594,4200,69
82,61403,3900,61
83,57142,3900,64
84,37807,4000,64
85,12593,6100,73
86,14109,4500,76
87,36744,3700,64
88,398,5500,68
89,74479,4400,69
90,23747,3400,59
91,77696,3800,64
92,29923,4000,69
93,13295,4000,69
94,86759,4400,72
95,24823,6200,79
96,48229,3700,64
97,43976,4200,75
98,45476,4000,73
99,73328,3900,64
100,29870,3900,61
101,1140,4400,73
102,77532,4100,69
103,10029,4400,74
104,34983,5500,69
105,41911,4300,73
106,62709,4200,68
107,63246,3700,64
108,45275,3700,61
109,52522,3900,66
110,42846,4200,69
111,8104,4500,73
112,7597,4000,64
113,24451,4100,70
114,94031,5300,64
115,12670,4300,74
116,8806,4300,72
117,57795,4000,75
118,30606,4300,78
119,55679,3300,64
120,30246,4300,73
121,11228,3600,68
122,34958,4200,69
123,35323,5300,66
124,22652,4100,74
125,42332,4500,71
126,82322,4000,66
127,17923,4800,64
128,76433,4100,69
129,49402,4400,74
130,42352,4200,69
131,98172,4000,69
132,26238,5900,79
133,67932,4300,66
134,46672,4100,69
135,59168,4500,75
136,90525,4100,69
137,73442,4000,64
138,36627,4600,78
139,56433,3500,59
140,1373,4300,74
141,35027,4000,64
142,56721,5700,73
143,12923,4400,67
144,49904,4000,64
145,64803,4300,73
146,46778,4400,71
147,77093,3800,67
148,16447,4300,74
149,55741,4700,73
150,1630,4500,68
151,78035,17400,64
152,5021,4400,63
153,40755,4500,74
154,45481,4300,69
155,90299,3900,63
156,72600,4500,71
157,41151,4500,71
158,62342,3100,63
159,29441,3700,69
160,42284,4400,85
161,34996,4500,61
162,92740,3600,59
163,30610,4100,69
164,18065,4300,72
165,28070,3700,68
166,39030,4600,79
167,45529,4500,69
168,59029,6100,68
169,86291,3900,64
170,66324,5000,64
171,34434,5000,79
172,28741,3600,59
173,71308,4700,75
174,7006,4100,71
175,91881,4600,69
176,30212,3900,64
177,96996,4300,69
178,60929,4100,64
179,25342,3900,66
180,74046,5900,75
181,53589,4200,73
182,68210,3800,59
183,42999,4100,64
184,26774,4500,68
185,23785,4800,74
186,4536,4600,74
187,81745,4000,69
188,18492,4300,70
189,20331,4100,66
190,63398,5200,68
191,12293,4300,80
192,95866,4200,68
193,87978,3900,68
194,1766,5100,69
195,69379,3800,64
196,46189,3600,64
197,79943,3600,65
198,39793,3900,63
199,63374,4600,64
200,16209,3700,64
201,76668,4100,70
202,80378,4300,69
203,27188,3900,58
204,1269,3500,59
205,62377,3400,61
206,10122,4900,80
207,25991,4400,69
208,84654,4300,74
209,26780,18900,68
210,90150,3900,66
211,73693,3700,68
212,488,4200,74
213,81948,4100,69
214,82894,3900,70
215,82305,4200,74
216,74359,3900,66
217,43731,4100,69
218,97183,3700,64
219,30323,4900,67
220,21675,3600,64
221,24181,4000,69
222,71511,4200,73
223,87843,4100,69
224,12673,3900,71
225,61553,4200,78
226,3416,4700,79
227,99493,3900,69
228,45174,5200,66
229,95987,4100,64
230,86405,3700,59
231,46417,4100,69
232,20118,4400,71
233,63347,4300,71
234,56266,3900,68
235,13659,4100,69
236,61587,3900,66
237,8510,5200,73
238,86553,3800,75
239,5290,4600,79
240,2386,3900,67
241,51486,4200,74
242,56431,3900,69
243,34230,4400,69
244,5088,3700,69
245,62921,4600,74
246,85141,3800,69
247,89891,4900,64
248,85730,3800,66
249,12675,5300,74
250,84193,3400,61
251,80245,4300,69
252,95881,3700,64
253,89425,3800,64
254,52253,3900,64
255,38095,9200,75
256,3459,4700,59
257,38459,3600,64
258,74815,4100,69
259,77131,4000,64
260,1358,4800,74
261,76509,4500,73
262,56760,4000,66
263,77816,4000,73
264,41064,4200,73
265,18347,4200,71
266,29065,4400,64
267,52107,4000,64
268,80099,4100,70
269,66206,3500,64
270,41294,4000,66
271,66340,3700,66
272,788,3600,69
273,24031,4200,66
274,96510,4000,69
275,40159,4700,64
276,78186,5000,80
277,17806,4200,71
278,17643,4200,69
279,65842,4300,69
280,91067,3800,64
281,20399,4400,80
282,80452,3500,69
283,44137,3900,74
284,96410,3900,63
285,2866,6100,78
286,69819,3900,69
287,65788,4100,74
288,26725,4000,68
289,74590,3500,59
290,97440,4700,77
291,11018,4500,72
292,58619,4100,69
293,77882,4300,69
294,14507,5000,69
295,78037,3900,64
296,45963,4100,69
297,11575,4500,69
298,93241,4700,73
299,63993,4200,64
300,55047,4600,74
301,189,4100,69
302,77134,4400,74
303,66666,4000,71
304,55960,5100,69
305,95569,4900,88
306,85913,3400,59
307,58633,4100,74
308,41866,4000,69
309,60352,4800,83
310,72565,4200,69
311,39938,4200,76
312,30984,4300,69
313,33674,5000,64
314,99243,4400,74
315,90694,4300,74
316,53955,4200,68
317,81613,3800,65
318,91605,4200,73
319,76800,4000,73
320,5387,3800,69
321,45005,3800,74
322,50494,4900,64
323,47509,3200,59
324,18688,4200,71
325,91518,3700,64
326,42629,3600,68
327,6781,3500,60
328,5986,3900,69
329,60302,4700,59
330,41248,3900,64
331,53593,4300,70
332,84741,4300,68
333,69137,5500,71
334,75036,3800,64
335,19696,4000,64
336,93857,4300,64
337,50953,4300,74
338,20771,3800,59
339,25386,4700,75
340,39109,4200,73
341,87794,4200,66
342,46007,5000,66
343,82056,4000,68
344,40011,4000,69
345,40488,3500,59
346,38842,4000,66
347,18813,4700,65
348,65959,4100,63
349,70518,3100,64
350,18224,3400,64
351,28557,3800,64
352,93241,4100,63
353,20956,3300,68
354,12860,3100,73
355,99329,3400,69
356,52706,3400,65
357,97212,4000,69
358,36007,4800,74
359,93732,3700,69
360,3923,3500,69
361,92577,3700,70
362,31680,5000,69
363,30302,4000,68
364,29856,261200,64
365,61164,5200,69
366,72765,5100,68
367,1226,4600,69
368,16596,2900,54
369,8380,3900,74
370,60895,4000,69
371,46741,3100,59
372,66718,8200,77
373,41081,3300,64
374,36852,5000,64
375,61366,4100,71
376,31529,3400,69
377,60894,3700,64
378,82165,3400,68
379,23588,3400,69
380,1802,4700,84
381,92992,5200,66
382,27952,4400,66
383,69945,5200,71
384,14802,3700,61
385,61887,3600,64
386,992,3600,59
387,98145,4600,77
388,76515,3900,61
389,50921,4500,74
390,29432,4000,69
391,17950,5300,68
392,86848,4100,66
393,1029,4500,75
394,25055,4600,74
395,62876,4300,68
396,78717,52600,73
397,4546,1700,69
398,47092,15300,65
399,30860,1600,64
400,56693,1400,66
401,30077,16400,72
402,63347,114700,68
403,78143,3600,70
