index,value,time_ns,operations
0,31130,994300,2
1,92763,46100,6
2,11248,2500,6
3,48884,2500,10
4,69970,8200,17
5,87525,3400,16
6,21505,2300,14
7,96918,1500,10
8,55519,2200,14
9,18093,4800,21
10,77182,2000,14
11,67502,7100,20
12,55276,2900,18
13,72292,3600,20
14,64476,2800,18
15,78032,4400,21
16,88456,2300,14
17,76170,2800,18
18,68743,64200,18
19,72209,4300,18
20,41400,3000,18
21,27863,2800,18
22,57226,3600,22
23,62913,5600,29
24,11243,2400,18
25,15241,5400,18
26,46030,3300,22
27,7458,3100,22
28,17387,4300,22
29,98246,3900,18
30,56730,5100,28
31,10756,5500,29
32,72430,4600,25
33,91085,2700,18
34,48217,7400,28
35,77727,4700,25
36,35212,4400,28
37,8093,4200,28
38,90713,4400,25
39,81164,4800,22
40,62379,6000,22
41,68065,4000,26
42,99823,4100,24
43,12737,3400,22
44,93975,3300,22
45,534,4200,22
46,2807,4500,28
47,16935,3800,26
48,70157,9000,22
49,48443,3300,26
50,27193,5500,29
51,24440,3000,26
52,5558,3900,28
53,64756,3800,26
54,77160,3500,22
55,64410,5100,26
56,25713,5700,32
57,4059,3900,26
58,28261,3600,26
59,26003,4900,32
60,25897,40100,33
61,22819,7600,26
62,27552,7800,22
63,26601,5500,33
64,9094,3100,22
65,50794,3900,26
66,92798,6600,32
67,29719,5000,32
68,83775,4400,32
69,69499,4900,26
70,82390,4200,30
71,67501,5400,33
72,41453,2700,22
73,10429,4200,28
74,27573,3600,26
75,73733,3100,26
76,80986,3800,30
77,82460,8400,37
78,90625,3500,26
79,12093,3200,26
80,18200,3300,26
81,12594,5200,33
82,61403,6200,33
83,57142,23700,30
84,37807,4400,26
85,12593,6000,33
86,14109,3700,26
87,36744,5400,33
88,398,3800,26
89,74479,4900,32
90,23747,5000,29
91,77696,3800,26
92,29923,4600,32
93,13295,5200,33
94,86759,5300,36
95,24823,3600,26
96,48229,11200,33
97,43976,3900,26
98,45476,4900,32
99,73328,4300,30
100,29870,6000,32
101,1140,3500,26
102,77532,5800,37
103,10029,5400,33
104,34983,5100,30
105,41911,4100,30
106,62709,3800,26
107,63246,4300,30
108,45275,4000,30
109,52522,5500,33
110,42846,5200,36
111,8104,4200,30
112,7597,5100,30
113,24451,4800,32
114,94031,7100,37
115,12670,5300,33
116,8806,6800,37
117,57795,4300,30
118,30606,3700,26
119,55679,4000,30
120,30246,4700,32
121,11228,5300,33
122,34958,5200,36
123,35323,5700,37
124,22652,5900,22
125,42332,4600,37
126,82322,2900,26
127,17923,4700,26
128,76433,3200,30
129,49402,3900,36
130,42352,4500,37
131,98172,3200,30
132,26238,6100,33
133,67932,3000,30
134,46672,3600,34
135,59168,4100,37
136,90525,4400,37
137,73442,4100,36
138,36627,3800,34
139,56433,3600,34
140,1373,3400,30
141,35027,3400,30
142,56721,4500,40
143,12923,2800,26
144,49904,4100,37
145,64803,3700,33
146,46778,4400,41
147,77093,5600,37
148,16447,4100,33
149,55741,5600,40
150,1630,4000,36
151,78035,4000,33
152,5021,3800,33
153,40755,3700,34
154,45481,3100,30
155,90299,3700,36
156,72600,3900,36
157,41151,4500,40
158,62342,3800,34
159,29441,3300,30
160,42284,3900,37
161,34996,4800,34
162,92740,4500,37
163,30610,3000,26
164,18065,3600,32
165,28070,3000,30
166,39030,6000,41
167,45529,3700,34
168,59029,3700,34
169,86291,4100,37
170,66324,3200,30
171,34434,3400,34
172,28741,4400,37
173,71308,3700,33
174,7006,3200,30
175,91881,4200,37
176,30212,4400,30
177,96996,3600,34
178,60929,3600,34
179,25342,3600,32
180,74046,4100,36
181,53589,4200,30
182,68210,3400,30
183,42999,5600,40
184,26774,3500,30
185,23785,4200,33
186,4536,3300,30
187,81745,3600,36
188,18492,3100,30
189,20331,3800,36
190,63398,8500,37
191,12293,7700,33
192,95866,3000,34
193,87978,2400,26
194,1766,3400,36
195,69379,2600,30
196,46189,3600,40
197,79943,2800,30
198,39793,3400,40
199,63374,3300,37
200,16209,2200,30
201,76668,2800,34
202,80378,3600,37
203,27188,3100,36
204,1269,2700,34
205,62377,3800,41
206,10122,4600,37
207,25991,2400,30
208,84654,3600,37
209,26780,3400,37
210,90150,3100,36
211,73693,2500,30
212,488,2300,34
213,81948,2700,34
214,82894,2400,30
215,82305,3500,40
216,74359,3300,37
217,43731,3400,38
218,97183,3700,41
219,30323,2700,30
220,21675,3700,30
221,24181,3000,32
222,71511,2900,34
223,87843,3000,34
224,12673,2800,30
225,61553,3000,34
226,3416,2500,30
227,99493,2900,34
228,45174,2600,34
229,95987,3400,40
230,86405,2900,34
231,46417,3600,41
232,20118,3900,36
233,63347,3900,41
234,56266,4400,40
235,13659,2600,30
236,61587,3400,37
237,8510,2600,30
238,86553,3400,41
239,5290,2500,30
240,2386,3200,36
241,51486,3000,34
242,56431,3500,40
243,34230,3200,40
244,5088,2800,34
245,62921,2600,30
246,85141,3000,34
247,89891,3300,36
248,85730,4500,40
249,12675,2400,36
250,84193,3700,41
251,80245,3100,37
252,95881,3600,40
253,89425,2800,34
254,52253,3500,40
255,38095,14500,40
256,3459,2800,34
257,38459,3200,40
258,74815,2800,34
259,77131,2700,34
260,1358,3200,40
