search_index,value,time_ns,operations
0,31130,15500,38
1,92763,1200,35
2,11248,900,32
3,48884,800,32
4,69970,1100,41
5,87525,900,32
6,21505,700,26
7,96918,800,26
8,55519,900,35
9,18093,900,35
10,77182,900,35
11,67502,2400,35
12,55276,1100,41
13,72292,900,38
14,64476,800,29
15,78032,600,20
16,88456,1000,38
17,76170,800,32
18,68743,700,26
19,72209,900,38
20,41400,800,29
21,27863,1000,38
22,57226,13200,32
23,62913,1000,23
24,11243,1400,38
25,15241,1200,29
26,46030,1600,41
27,7458,1500,41
28,17387,1500,35
29,98246,1300,41
30,56730,800,17
31,10756,1300,38
32,72430,1200,35
33,91085,2400,38
34,48217,1400,38
35,77727,1400,38
36,35212,1600,44
37,8093,1400,41
38,90713,1600,38
39,81164,1500,41
40,62379,1200,35
41,68065,1300,32
42,99823,1500,38
43,12737,13900,32
44,93975,1700,38
45,534,1500,35
46,2807,1400,41
47,16935,1400,35
48,70157,1400,35
49,48443,1600,41
50,27193,1800,41
51,24440,1100,26
52,5558,1300,35
53,64756,2400,32
54,77160,1200,29
55,64410,1500,41
56,25713,1300,32
57,4059,1600,38
58,28261,1600,35
59,26003,1400,32
60,25897,1900,41
61,22819,1500,38
62,27552,1700,41
63,26601,1300,35
64,9094,2600,38
65,50794,1100,26
66,92798,1600,41
67,29719,1300,35
68,83775,1000,29
69,69499,1600,41
70,82390,1500,38
71,67501,1800,41
72,41453,1600,38
73,10429,1400,35
74,27573,2000,26
75,73733,1500,32
76,80986,1500,35
77,82460,1800,41
78,90625,2000,44
79,12093,2000,44
80,18200,1900,35
81,12594,1800,44
82,61403,1400,35
83,57142,1400,38
84,37807,2400,35
85,12593,1600,38
86,14109,1400,41
87,36744,1000,26
88,398,1500,38
89,74479,1800,44
90,23747,1700,38
91,77696,1400,29
92,29923,1700,38
93,13295,1300,29
94,86759,2800,38
95,24823,1300,35
96,48229,1500,38
97,43976,1700,38
98,45476,1700,41
99,73328,1600,38
